C_Municipality_ID[Name],Name,Postal,Description
Motozintla,LA UNION,30900,Motozintla
Motozintla,IGNACIO ALLENDE,30900,Motozintla
Motozintla,FRANCISCO SARABIA I,30900,Motozintla
Motozintla,FRANCISCO SARABIA,30900,Motozintla
Motozintla,EL CEREZO,30900,Motozintla
Motozintla,AMPLIACION XELAJU CHICO,30900,Motozintla
Motozintla,ALIANZA 2000,30900,Motozintla
Motozintla,SAN CARALAMPIO,30900,Motozintla
Motozintla,EMILIANO ZAPATA,30900,Motozintla
Motozintla,CENTRO,30900,Motozintla
Motozintla,VIDA MEJOR LOS LADRILLOS,0,Motozintla
Motozintla,UNION JUAREZ,30900,Motozintla
Motozintla,UNIDAD DEPORTIVA,30900,Motozintla
Motozintla,SAN VICENTE,30900,Motozintla
Motozintla,SAN JOSE,30900,Motozintla
Motozintla,PREPARATORIA,30900,Motozintla
Motozintla,PREDIO PABLO,0,Motozintla
Motozintla,PABLO SALAZAR,30900,Motozintla
Motozintla,NUEVA JERUSALEM,30900,Motozintla
Motozintla,MIGUEL HIDALGO,30900,Motozintla
Motozintla,LOS CERRITOS,30900,Motozintla
Motozintla,LINDA VISTA,30900,Motozintla
Motozintla,LAS VEGAS,30900,Motozintla
Motozintla,LAS VEGAS,30900,Motozintla
Motozintla,INDUSTRIAL,30900,Motozintla
Motozintla,FOVISSSTE,30900,Motozintla
Motozintla,EMILIANO ZAPATA,30900,Motozintla
Motozintla,EL ROSARIO,30900,Motozintla
Motozintla,EL ORGANAL,30900,Motozintla
Motozintla,EL NARANJO,30900,Motozintla
Motozintla,EL MIRADOR,30900,Motozintla
Motozintla,EL EDEN,30900,Motozintla
Motozintla,EL CIPRES LINDA VISTA,30900,Motozintla
Motozintla,BARRIO 1 DE MAYO,30900,Motozintla
Motozintla,21 DE MARZO,30900,Motozintla
Motozintla,NUEVA MARAVILLA,30900,Motozintla
Motozintla,ALTA MIRA,30900,Motozintla
Motozintla,ALTAMIRANO,0,Motozintla
Motul,EL CENOTE,97430,Motul
Motul,LA ARBOLEDA,97430,Motul
Motul,MIGUEL HIDALGO Y COSTILLA,97430,Motul
Motul,MOTUL,97430,Motul
Motul,MOTUL,97430,Motul
Motul,RANCHO KANCABCHEN,97444,Motul
Motul,KOPTE,97444,Motul
Motul,MESATUNICH,97444,Motul
Motul,TANYA,97443,Motul
Motul,MOTUL,97430,Motul
Motul,KAXATAH,97444,Motul
Motul,KANKABAL,97443,Motul
Motul,UCI,97440,Motul
Motul,SAN PEDRO CHACABAL,97443,Motul
Motul,SANTA CRUZ,97430,Motul
Motul,MARIO H CUEVAS,97430,Motul
Motul,KINI,97437,Motul
Motul,CHACSINKIN,97430,Motul
Motul,SACAPUC,97436,Motul
Motul,TIMUL,97436,Motul
Motul,SAN ROQUE,97430,Motul
Motul,NICTE HA,97430,Motul
Motul,MOTUL,97430,Motul
Motul,LA TRINCHERA,97430,Motul
Motul,EDESIO CARRILLO PUERTO,97430,Motul
Motul,MOTUL,97430,Motul
Motul,FLOR DE MAYO,97430,Motul
Motul,MOTUL,97430,Motul
Motul,CHAQUISTE,97430,Motul
Motul,SAN JUAN,97430,Motul
Motul,REAL DEL MAYAB,97430,Motul
Motul,ZAMBULA,97430,Motul
Motul,SANTIAGO CASTILLO,97430,Motul
Motul,SANTA CRUZ PACHON,97430,Motul
Motul,MOTUL,97430,Motul
Motul,SAN CARLOS,97430,Motul
Motul,PUERTA DEL SOL,97430,Motul
Motul,PARIS LONDRES,97430,Motul
Motul,MOTUL,97430,Motul
